node,role,full_ratio_median,target_logit_delta_median
MLP11,Aux MLP,0.1576777739608382,0.4375
L17H8,Format Router,0.34529505582137165,0.75
MLP20,Aux MLP,0.09160839160839161,0.25
L20H5,Format Router,0.28174603174603174,0.5
L21H1,Format Router,0.39860139860139865,1.0
L21H12,Format Router,0.42454545454545456,0.9375
MLP22,Support MLP,0.20172764227642276,0.5
L23H6,Format Router,0.2792207792207792,0.5625
L24H6,Tool-Tag Reader,0.3050847457627119,0.1875
MLP27,Support MLP,0.3647450110864745,1.0625
