mode,group,n_samples,gap_aug_median,suff_median,nec_median,drop_full_nec_median,drop_full_nec_abs_median
orig,full_core,119,7.125,0.9032258064516128,0.92,,
orig,stable_necessary_backbone,119,7.125,0.88,0.9555555555555556,0.265625,1.875
orig,stable_but_weak_or_redundant,119,7.125,0.6515151515151515,0.6037735849056604,0.0487804878048779,0.37499999999999956
orig,all_heads,119,7.125,0.9661016949152542,1.0365853658536586,0.4363636363636363,3.0
orig,all_mlps,119,7.125,0.5671641791044776,0.4756097560975609,-0.125,-0.8749999999999992
user_json_pad,full_core,119,9.125,0.9651162790697676,0.9494949494949496,,
user_json_pad,stable_necessary_backbone,119,9.125,0.8571428571428571,0.9508928571428572,0.098360655737705,0.8750000000000007
user_json_pad,stable_but_weak_or_redundant,119,9.125,0.7578947368421053,0.7058823529411765,-0.0410958904109588,-0.37499999999999906
user_json_pad,all_heads,119,9.125,0.845360824742268,0.8548387096774194,0.2295081967213115,1.9999999999999996
user_json_pad,all_mlps,119,9.125,0.7798165137614679,0.7157894736842105,0.1052631578947368,0.9999999999999988
user_pad_short,full_core,119,2.5,1.0909090909090908,1.0666666666666669,,
user_pad_short,stable_necessary_backbone,119,2.5,0.7222222222222222,0.7352941176470589,0.273972602739726,0.75
user_pad_short,stable_but_weak_or_redundant,119,2.5,0.6666666666666666,0.5882352941176471,0.1999999999999999,0.5000000000000001
user_pad_short,all_heads,119,2.5,0.7567567567567568,0.7916666666666666,0.35,0.8750000000000002
user_pad_short,all_mlps,119,2.5,0.7931034482758621,0.7,0.2500000000000001,0.75
