variant,gap_min,core_node_th,core_edge_th,n_records_total,n_records_active,total_weight,n_core_nodes,n_core_edges,core_nodes,core_edges
gap0.50_n0.45_e0.35,0.5,0.45,0.35,164,139,129.60842460202588,11,25,MLP11|L17H8|MLP20|L20H5|L21H1|L21H12|MLP22|L23H6|L24H6|MLP25|MLP27,L21H1->L23H6|L17H8->L21H12|L17H8->L21H1|L21H12->L23H6|L23H6->L24H6|MLP11->L17H8|MLP25->Residual Output: <tool_call>|L17H8->L20H5|L21H1->L24H6|L21H1->MLP27|L21H12->L24H6|L21H12->MLP27|L20H5->L21H12|L24H6->Residual Output: <tool_call>|L20H5->L21H1|MLP27->Residual Output: <tool_call>|L21H1->MLP22|L21H12->MLP22|L17H8->MLP20|MLP22->L24H6|L24H6->MLP27|L23H6->Residual Output: <tool_call>|MLP20->L21H1|Input Embed->MLP11|L21H12->MLP25
gap0.50_n0.45_e0.40,0.5,0.45,0.4,164,139,129.60842460202588,11,25,MLP11|L17H8|MLP20|L20H5|L21H1|L21H12|MLP22|L23H6|L24H6|MLP25|MLP27,L21H1->L23H6|L17H8->L21H12|L17H8->L21H1|L21H12->L23H6|L23H6->L24H6|MLP11->L17H8|MLP25->Residual Output: <tool_call>|L17H8->L20H5|L21H1->L24H6|L21H1->MLP27|L21H12->L24H6|L21H12->MLP27|L20H5->L21H12|L24H6->Residual Output: <tool_call>|L20H5->L21H1|MLP27->Residual Output: <tool_call>|L21H1->MLP22|L21H12->MLP22|L17H8->MLP20|MLP22->L24H6|L24H6->MLP27|L23H6->Residual Output: <tool_call>|Input Embed->MLP11|L21H12->MLP25|MLP20->L21H1
gap0.50_n0.50_e0.30,0.5,0.5,0.3,164,139,129.60842460202588,10,24,MLP11|L17H8|MLP20|L20H5|L21H1|L21H12|MLP22|L23H6|L24H6|MLP27,L21H1->L23H6|L17H8->L21H12|L17H8->L21H1|L21H12->L23H6|L23H6->L24H6|MLP11->L17H8|L17H8->L20H5|L21H1->L24H6|L21H1->MLP27|L21H12->L24H6|L21H12->MLP27|L20H5->L21H12|L24H6->Residual Output: <tool_call>|L20H5->L21H1|MLP27->Residual Output: <tool_call>|L21H1->MLP22|L21H12->MLP22|L17H8->MLP20|MLP20->L21H12|MLP22->L24H6|L24H6->MLP27|L23H6->Residual Output: <tool_call>|MLP20->L21H1|Input Embed->MLP11
gap0.50_n0.50_e0.35,0.5,0.5,0.35,164,139,129.60842460202588,10,23,MLP11|L17H8|MLP20|L20H5|L21H1|L21H12|MLP22|L23H6|L24H6|MLP27,L21H1->L23H6|L17H8->L21H12|L17H8->L21H1|L21H12->L23H6|L23H6->L24H6|MLP11->L17H8|L17H8->L20H5|L21H1->L24H6|L21H1->MLP27|L21H12->L24H6|L21H12->MLP27|L20H5->L21H12|L24H6->Residual Output: <tool_call>|L20H5->L21H1|MLP27->Residual Output: <tool_call>|L21H1->MLP22|L21H12->MLP22|L17H8->MLP20|MLP22->L24H6|L24H6->MLP27|L23H6->Residual Output: <tool_call>|MLP20->L21H1|Input Embed->MLP11
gap0.50_n0.50_e0.40,0.5,0.5,0.4,164,139,129.60842460202588,10,23,MLP11|L17H8|MLP20|L20H5|L21H1|L21H12|MLP22|L23H6|L24H6|MLP27,L21H1->L23H6|L17H8->L21H12|L17H8->L21H1|L21H12->L23H6|L23H6->L24H6|MLP11->L17H8|L17H8->L20H5|L21H1->L24H6|L21H1->MLP27|L21H12->L24H6|L21H12->MLP27|L20H5->L21H12|L24H6->Residual Output: <tool_call>|L20H5->L21H1|MLP27->Residual Output: <tool_call>|L21H1->MLP22|L21H12->MLP22|L17H8->MLP20|MLP22->L24H6|L24H6->MLP27|L23H6->Residual Output: <tool_call>|Input Embed->MLP11|MLP20->L21H1
gap0.50_n0.55_e0.30,0.5,0.55,0.3,164,139,129.60842460202588,8,20,L17H8|L20H5|L21H1|L21H12|MLP22|L23H6|L24H6|MLP27,L21H1->L23H6|L17H8->L21H12|L17H8->L21H1|L21H12->L23H6|L23H6->L24H6|L17H8->L20H5|L21H1->L24H6|L21H1->MLP27|L21H12->L24H6|L21H12->MLP27|L20H5->L21H12|L24H6->Residual Output: <tool_call>|L20H5->L21H1|MLP27->Residual Output: <tool_call>|L21H1->MLP22|L21H12->MLP22|MLP22->L24H6|L24H6->MLP27|L23H6->Residual Output: <tool_call>|Input Embed->L17H8
gap0.50_n0.55_e0.35,0.5,0.55,0.35,164,139,129.60842460202588,8,20,L17H8|L20H5|L21H1|L21H12|MLP22|L23H6|L24H6|MLP27,L21H1->L23H6|L17H8->L21H12|L17H8->L21H1|L21H12->L23H6|L23H6->L24H6|L17H8->L20H5|L21H1->L24H6|L21H1->MLP27|L21H12->L24H6|L21H12->MLP27|L20H5->L21H12|L24H6->Residual Output: <tool_call>|L20H5->L21H1|MLP27->Residual Output: <tool_call>|L21H1->MLP22|L21H12->MLP22|MLP22->L24H6|L24H6->MLP27|L23H6->Residual Output: <tool_call>|Input Embed->L17H8
gap0.50_n0.55_e0.40,0.5,0.55,0.4,164,139,129.60842460202588,8,20,L17H8|L20H5|L21H1|L21H12|MLP22|L23H6|L24H6|MLP27,L21H1->L23H6|L17H8->L21H12|L17H8->L21H1|L21H12->L23H6|L23H6->L24H6|L17H8->L20H5|L21H1->L24H6|L21H1->MLP27|L21H12->L24H6|L21H12->MLP27|L20H5->L21H12|L24H6->Residual Output: <tool_call>|L20H5->L21H1|MLP27->Residual Output: <tool_call>|L21H1->MLP22|L21H12->MLP22|MLP22->L24H6|L24H6->MLP27|L23H6->Residual Output: <tool_call>|Input Embed->L17H8
gap0.60_n0.45_e0.30,0.6,0.45,0.3,164,139,129.60842460202588,11,27,MLP11|L17H8|MLP20|L20H5|L21H1|L21H12|MLP22|L23H6|L24H6|MLP25|MLP27,L21H1->L23H6|L17H8->L21H12|L17H8->L21H1|L21H12->L23H6|L21H12->MLP25|L23H6->L24H6|MLP11->L17H8|MLP25->Residual Output: <tool_call>|L17H8->L20H5|L21H1->L24H6|L21H1->MLP27|L21H12->L24H6|L21H12->MLP27|L20H5->L21H12|L24H6->Residual Output: <tool_call>|L20H5->L21H1|MLP27->Residual Output: <tool_call>|L21H1->MLP22|L21H12->MLP22|L24H6->MLP25|L17H8->MLP20|MLP20->L21H12|MLP22->L24H6|L24H6->MLP27|L23H6->Residual Output: <tool_call>|MLP20->L21H1|Input Embed->MLP11
gap0.60_n0.45_e0.35,0.6,0.45,0.35,164,139,129.60842460202588,11,25,MLP11|L17H8|MLP20|L20H5|L21H1|L21H12|MLP22|L23H6|L24H6|MLP25|MLP27,L21H1->L23H6|L17H8->L21H12|L17H8->L21H1|L21H12->L23H6|L23H6->L24H6|MLP11->L17H8|MLP25->Residual Output: <tool_call>|L17H8->L20H5|L21H1->L24H6|L21H1->MLP27|L21H12->L24H6|L21H12->MLP27|L20H5->L21H12|L24H6->Residual Output: <tool_call>|L20H5->L21H1|MLP27->Residual Output: <tool_call>|L21H1->MLP22|L21H12->MLP22|L17H8->MLP20|MLP22->L24H6|L24H6->MLP27|L23H6->Residual Output: <tool_call>|MLP20->L21H1|Input Embed->MLP11|L21H12->MLP25
gap0.60_n0.45_e0.40,0.6,0.45,0.4,164,139,129.60842460202588,11,25,MLP11|L17H8|MLP20|L20H5|L21H1|L21H12|MLP22|L23H6|L24H6|MLP25|MLP27,L21H1->L23H6|L17H8->L21H12|L17H8->L21H1|L21H12->L23H6|L23H6->L24H6|MLP11->L17H8|MLP25->Residual Output: <tool_call>|L17H8->L20H5|L21H1->L24H6|L21H1->MLP27|L21H12->L24H6|L21H12->MLP27|L20H5->L21H12|L24H6->Residual Output: <tool_call>|L20H5->L21H1|MLP27->Residual Output: <tool_call>|L21H1->MLP22|L21H12->MLP22|L17H8->MLP20|MLP22->L24H6|L24H6->MLP27|L23H6->Residual Output: <tool_call>|Input Embed->MLP11|L21H12->MLP25|MLP20->L21H1
gap0.60_n0.50_e0.30,0.6,0.5,0.3,164,139,129.60842460202588,10,24,MLP11|L17H8|MLP20|L20H5|L21H1|L21H12|MLP22|L23H6|L24H6|MLP27,L21H1->L23H6|L17H8->L21H12|L17H8->L21H1|L21H12->L23H6|L23H6->L24H6|MLP11->L17H8|L17H8->L20H5|L21H1->L24H6|L21H1->MLP27|L21H12->L24H6|L21H12->MLP27|L20H5->L21H12|L24H6->Residual Output: <tool_call>|L20H5->L21H1|MLP27->Residual Output: <tool_call>|L21H1->MLP22|L21H12->MLP22|L17H8->MLP20|MLP20->L21H12|MLP22->L24H6|L24H6->MLP27|L23H6->Residual Output: <tool_call>|MLP20->L21H1|Input Embed->MLP11
gap0.60_n0.50_e0.35,0.6,0.5,0.35,164,139,129.60842460202588,10,23,MLP11|L17H8|MLP20|L20H5|L21H1|L21H12|MLP22|L23H6|L24H6|MLP27,L21H1->L23H6|L17H8->L21H12|L17H8->L21H1|L21H12->L23H6|L23H6->L24H6|MLP11->L17H8|L17H8->L20H5|L21H1->L24H6|L21H1->MLP27|L21H12->L24H6|L21H12->MLP27|L20H5->L21H12|L24H6->Residual Output: <tool_call>|L20H5->L21H1|MLP27->Residual Output: <tool_call>|L21H1->MLP22|L21H12->MLP22|L17H8->MLP20|MLP22->L24H6|L24H6->MLP27|L23H6->Residual Output: <tool_call>|MLP20->L21H1|Input Embed->MLP11
gap0.60_n0.50_e0.40,0.6,0.5,0.4,164,139,129.60842460202588,10,23,MLP11|L17H8|MLP20|L20H5|L21H1|L21H12|MLP22|L23H6|L24H6|MLP27,L21H1->L23H6|L17H8->L21H12|L17H8->L21H1|L21H12->L23H6|L23H6->L24H6|MLP11->L17H8|L17H8->L20H5|L21H1->L24H6|L21H1->MLP27|L21H12->L24H6|L21H12->MLP27|L20H5->L21H12|L24H6->Residual Output: <tool_call>|L20H5->L21H1|MLP27->Residual Output: <tool_call>|L21H1->MLP22|L21H12->MLP22|L17H8->MLP20|MLP22->L24H6|L24H6->MLP27|L23H6->Residual Output: <tool_call>|Input Embed->MLP11|MLP20->L21H1
gap0.60_n0.55_e0.30,0.6,0.55,0.3,164,139,129.60842460202588,8,20,L17H8|L20H5|L21H1|L21H12|MLP22|L23H6|L24H6|MLP27,L21H1->L23H6|L17H8->L21H12|L17H8->L21H1|L21H12->L23H6|L23H6->L24H6|L17H8->L20H5|L21H1->L24H6|L21H1->MLP27|L21H12->L24H6|L21H12->MLP27|L20H5->L21H12|L24H6->Residual Output: <tool_call>|L20H5->L21H1|MLP27->Residual Output: <tool_call>|L21H1->MLP22|L21H12->MLP22|MLP22->L24H6|L24H6->MLP27|L23H6->Residual Output: <tool_call>|Input Embed->L17H8
gap0.60_n0.55_e0.35,0.6,0.55,0.35,164,139,129.60842460202588,8,20,L17H8|L20H5|L21H1|L21H12|MLP22|L23H6|L24H6|MLP27,L21H1->L23H6|L17H8->L21H12|L17H8->L21H1|L21H12->L23H6|L23H6->L24H6|L17H8->L20H5|L21H1->L24H6|L21H1->MLP27|L21H12->L24H6|L21H12->MLP27|L20H5->L21H12|L24H6->Residual Output: <tool_call>|L20H5->L21H1|MLP27->Residual Output: <tool_call>|L21H1->MLP22|L21H12->MLP22|MLP22->L24H6|L24H6->MLP27|L23H6->Residual Output: <tool_call>|Input Embed->L17H8
gap0.60_n0.55_e0.40,0.6,0.55,0.4,164,139,129.60842460202588,8,20,L17H8|L20H5|L21H1|L21H12|MLP22|L23H6|L24H6|MLP27,L21H1->L23H6|L17H8->L21H12|L17H8->L21H1|L21H12->L23H6|L23H6->L24H6|L17H8->L20H5|L21H1->L24H6|L21H1->MLP27|L21H12->L24H6|L21H12->MLP27|L20H5->L21H12|L24H6->Residual Output: <tool_call>|L20H5->L21H1|MLP27->Residual Output: <tool_call>|L21H1->MLP22|L21H12->MLP22|MLP22->L24H6|L24H6->MLP27|L23H6->Residual Output: <tool_call>|Input Embed->L17H8
