q_index,edge,source,target,source_ratio,blocked_ratio,edge_ratio,gap
1,L20H5->L21H12,L20H5,L21H12,0.23684210526315788,0.15789473684210525,0.07894736842105263,4.75
1,L17H8->L20H5,L17H8,L20H5,0.42105263157894735,0.34210526315789475,0.0789473684210526,4.75
1,L17H8->L21H12,L17H8,L21H12,0.42105263157894735,0.2894736842105263,0.13157894736842102,4.75
1,L24H6->Residual Output: <tool_call>,L24H6,Residual Output: <tool_call>,0.23684210526315788,0.0,0.23684210526315788,4.75
1,MLP11->L17H8,MLP11,L17H8,0.15789473684210525,0.05263157894736842,0.10526315789473684,4.75
1,L21H1->MLP27,L21H1,MLP27,0.47368421052631576,0.2631578947368421,0.21052631578947367,4.75
1,L21H1->L24H6,L21H1,L24H6,0.47368421052631576,0.3157894736842105,0.15789473684210525,4.75
1,L21H1->L23H6,L21H1,L23H6,0.47368421052631576,0.4473684210526316,0.02631578947368418,4.75
1,L21H12->MLP27,L21H12,MLP27,0.5263157894736842,0.3157894736842105,0.21052631578947367,4.75
1,L20H5->L21H1,L20H5,L21H1,0.23684210526315788,0.13157894736842105,0.10526315789473684,4.75
1,L21H12->L24H6,L21H12,L24H6,0.5263157894736842,0.3157894736842105,0.21052631578947367,4.75
1,L17H8->L21H1,L17H8,L21H1,0.42105263157894735,0.18421052631578946,0.23684210526315788,4.75
1,MLP27->Residual Output: <tool_call>,MLP27,Residual Output: <tool_call>,0.34210526315789475,0.0,0.34210526315789475,4.75
1,L21H12->L23H6,L21H12,L23H6,0.5263157894736842,0.4473684210526316,0.0789473684210526,4.75
1,L23H6->L24H6,L23H6,L24H6,0.23684210526315788,0.13157894736842105,0.10526315789473684,4.75
1,L21H12->MLP22,L21H12,MLP22,0.5263157894736842,0.47368421052631576,0.05263157894736842,4.75
1,L21H1->MLP22,L21H1,MLP22,0.47368421052631576,0.4473684210526316,0.02631578947368418,4.75
1,L24H6->MLP27,L24H6,MLP27,0.23684210526315788,0.10526315789473684,0.13157894736842105,4.75
1,MLP22->L24H6,MLP22,L24H6,0.07894736842105263,0.02631578947368421,0.05263157894736842,4.75
1,L17H8->MLP20,L17H8,MLP20,0.42105263157894735,0.3684210526315789,0.05263157894736842,4.75
1,L23H6->Residual Output: <tool_call>,L23H6,Residual Output: <tool_call>,0.23684210526315788,0.0,0.23684210526315788,4.75
1,MLP20->L21H1,MLP20,L21H1,-0.02631578947368421,-0.21052631578947367,0.18421052631578946,4.75
1,Input Embed->MLP11,Input Embed,MLP11,1.0,0.5526315789473685,0.4473684210526315,4.75
2,L20H5->L21H12,L20H5,L21H12,0.19672131147540983,0.13114754098360656,0.06557377049180327,7.625
2,L17H8->L20H5,L17H8,L20H5,0.4262295081967213,0.39344262295081966,0.03278688524590162,7.625
2,L17H8->L21H12,L17H8,L21H12,0.4262295081967213,0.3442622950819672,0.08196721311475408,7.625
2,L24H6->Residual Output: <tool_call>,L24H6,Residual Output: <tool_call>,0.36065573770491804,0.0,0.36065573770491804,7.625
2,MLP11->L17H8,MLP11,L17H8,0.08196721311475409,0.0,0.08196721311475409,7.625
2,L21H1->MLP27,L21H1,MLP27,0.5081967213114754,0.26229508196721313,0.2459016393442623,7.625
2,L21H1->L24H6,L21H1,L24H6,0.5081967213114754,0.2786885245901639,0.2295081967213115,7.625
2,L21H1->L23H6,L21H1,L23H6,0.5081967213114754,0.4262295081967213,0.08196721311475413,7.625
2,L21H12->MLP27,L21H12,MLP27,0.4918032786885246,0.29508196721311475,0.19672131147540983,7.625
2,L20H5->L21H1,L20H5,L21H1,0.19672131147540983,0.14754098360655737,0.04918032786885246,7.625
2,L21H12->L24H6,L21H12,L24H6,0.4918032786885246,0.29508196721311475,0.19672131147540983,7.625
2,L17H8->L21H1,L17H8,L21H1,0.4262295081967213,0.29508196721311475,0.13114754098360654,7.625
2,MLP27->Residual Output: <tool_call>,MLP27,Residual Output: <tool_call>,0.4098360655737705,0.0,0.4098360655737705,7.625
2,L21H12->L23H6,L21H12,L23H6,0.4918032786885246,0.4262295081967213,0.0655737704918033,7.625
2,L23H6->L24H6,L23H6,L24H6,0.3114754098360656,0.13114754098360656,0.18032786885245902,7.625
2,L21H12->MLP22,L21H12,MLP22,0.4918032786885246,0.45901639344262296,0.03278688524590162,7.625
2,L21H1->MLP22,L21H1,MLP22,0.5081967213114754,0.45901639344262296,0.04918032786885246,7.625
2,L24H6->MLP27,L24H6,MLP27,0.36065573770491804,0.18032786885245902,0.18032786885245902,7.625
2,MLP22->L24H6,MLP22,L24H6,0.18032786885245902,0.08196721311475409,0.09836065573770493,7.625
2,L17H8->MLP20,L17H8,MLP20,0.4262295081967213,0.39344262295081966,0.03278688524590162,7.625
2,L23H6->Residual Output: <tool_call>,L23H6,Residual Output: <tool_call>,0.3114754098360656,0.0,0.3114754098360656,7.625
2,MLP20->L21H1,MLP20,L21H1,0.08196721311475409,0.01639344262295082,0.06557377049180327,7.625
2,Input Embed->MLP11,Input Embed,MLP11,1.0,0.9344262295081968,0.06557377049180324,7.625
3,L20H5->L21H12,L20H5,L21H12,0.3269230769230769,0.25,0.07692307692307693,6.5
3,L17H8->L20H5,L17H8,L20H5,0.4423076923076923,0.38461538461538464,0.057692307692307654,6.5
3,L17H8->L21H12,L17H8,L21H12,0.4423076923076923,0.3076923076923077,0.13461538461538458,6.5
3,L24H6->Residual Output: <tool_call>,L24H6,Residual Output: <tool_call>,0.4230769230769231,0.0,0.4230769230769231,6.5
3,MLP11->L17H8,MLP11,L17H8,-0.17307692307692307,-0.11538461538461539,-0.05769230769230768,6.5
3,L21H1->MLP27,L21H1,MLP27,0.5192307692307693,0.2692307692307692,0.25000000000000006,6.5
3,L21H1->L24H6,L21H1,L24H6,0.5192307692307693,0.2692307692307692,0.25000000000000006,6.5
3,L21H1->L23H6,L21H1,L23H6,0.5192307692307693,0.40384615384615385,0.11538461538461542,6.5
3,L21H12->MLP27,L21H12,MLP27,0.5384615384615384,0.3076923076923077,0.23076923076923073,6.5
3,L20H5->L21H1,L20H5,L21H1,0.3269230769230769,0.2692307692307692,0.05769230769230771,6.5
3,L21H12->L24H6,L21H12,L24H6,0.5384615384615384,0.3076923076923077,0.23076923076923073,6.5
3,L17H8->L21H1,L17H8,L21H1,0.4423076923076923,0.36538461538461536,0.07692307692307693,6.5
3,MLP27->Residual Output: <tool_call>,MLP27,Residual Output: <tool_call>,0.3269230769230769,0.0,0.3269230769230769,6.5
